No.,大項目,中項目,ページ,単語,品詞,意味,発音,例文,和訳
724,ＢＳ,１年,109,would,,would like の形でていねいな依頼や希望の表現に使う,[ウッド],Would you like some help?,手伝いましょうか？
725,ＢＳ,１年,109,I'd,,I would の短縮形,[アイド],I'd love to join.,ぜひ参加したいです。
726,ＢＳ,１年,109,For here or to go?,,こちらでお召し上がりですか、それともお持ち帰りですか。,[フォー・ヒア・オア・トゥ・ゴー],For here or to go?,店内でお召し上がりですか？お持ち帰りですか？
727,ＢＳ,１年,110,twelfth,数詞,12番目（の）、12日,[トゥエルフス],Today is the twelfth of May.,今日は5月12日です。
728,ＢＳ,１年,110,fifteenth,数詞,15番目（の）、15日,[フィフティーンズ],oday is the fifteenth of April.,今日は4月15日です。
729,ＢＳ,１年,110,nursing,名詞,看護,[ナーシング],She works at a nursing school.,彼女は看護学校で働いています。
730,ＢＳ,１年,110,nursing home,,看護施設,[ナーシング・ホーム],My grandmother lives in a nursing home.,私の祖母は老人ホームに住んでいます。
731,ＢＳ,１年,110,twentieth,数詞,20番目（の）、20日,[トゥエンティース],My birthday is on the twentieth.,私の誕生日は20日です。
732,ＢＳ,１年,110,encourage,動詞,～を励ます,[エンカレッジ],Teachers encourage us to try.,先生たちは私たちを励ましてくれます。
733,ＢＳ,１年,110,difficult,形容詞,難しい、困難な,[ディフィカルト],This question is difficult.,この質問は難しいです。
734,ＢＳ,１年,110,elderly,形容詞,年配の,[エルダーリー],We helped the elderly cross the road.,私たちはお年寄りが道を渡るのを手伝いました。
735,ＢＳ,１年,110,volunteer,名詞,ボランティア活動をする,[ボランティア],I want to be a volunteer.,私はボランティアになりたいです。
736,ＢＳ,１年,110,graduation,名詞,卒業,[グラジュエーション],Our graduation is next week.,私たちの卒業式は来週です。
737,ＢＳ,１年,110,ceremony,名詞,儀式、式典,[セレモニー],The ceremony was very beautiful.,その式はとても素敵でした。
738,ＢＳ,１年,110,graduation ceremony,,卒業式,[グラジュエーション・セレモニー],The graduation ceremony made me cry.,卒業式で泣いてしまいました。
739,ＢＳ,１年,110,sang,動詞,sing の過去形,[サング],We sang our school song.,私たちは校歌を歌いました。
740,ＢＳ,１年,110,again and again,,何度も繰り返して,[アゲイン・アンド・アゲイン],He read the book again and again.,彼は何度も何度もその本を読みました。
741,ＢＳ,１年,113-115,problem,名詞,問題,[プロブレム],That is a big problem.,それは大きな問題です。
742,ＢＳ,１年,113-115,waste,名詞,ゴミ、廃棄物,[ウェイスト],Don't waste food.,食べ物を無駄にしないでください。
743,ＢＳ,１年,113-115,plastic,名詞,プラスチック（製）の、ビニールの,[プラスティック],This bag is made of plastic.,このバッグはプラスチックでできています。
744,ＢＳ,１年,113-115,dangerous,形容詞,危険な,[デンジャラス],Snakes can be dangerous.,ヘビは危険なことがあります。
745,ＢＳ,１年,113-115,more,副詞,[動詞を修飾して]もっと,[モア],I want to learn more.,もっと学びたいです。
746,ＢＳ,１年,113-115,so,接続詞,それで、だから,[ソー],"I was tired, so I went to bed early.",疲れたので早く寝ました。
747,ＢＳ,１年,113-115,language,名詞,言語,[ランゲージ],English is a useful language.,英語は役に立つ言語です。
748,ＢＳ,１年,113-115,sense,名詞,意味,[センス],That makes no sense.,それは意味が通じません。
749,ＢＳ,１年,113-115,radio,名詞,ラジオ,[ラジオ],I listened to the radio this morning.,今朝ラジオを聞きました。
750,ＢＳ,１年,113-115,high school,名詞,高校,[ハイ・スクール],She is a high school student.,彼女は高校生です。
751,ＢＳ,１年,113-115,college,名詞,大学,[カレッジ],He goes to college in Tokyo.,彼は東京の大学に通っています。
752,ＢＳ,１年,113-115,true,形容詞,本当の、その通りの,[トゥルー],That's not true.,それは本当ではありません。
753,ＢＳ,１年,113-115,surprised,形容詞,びっくりした、おどろいた,[サプライズド],I was surprised by the news.,そのニュースに驚きました。
754,ＢＳ,１年,113-115,young,形容詞,若い,[ヤング],She is young and active.,彼女は若くて元気です。
755,ＢＳ,１年,113-115,twice,名詞,２度、２回,[トゥワイス],I've been there twice.,そこには2回行ったことがあります。
756,ＢＳ,１年,113-115,come from ～,,～からやってくる,[カム・フロム ～],I come from Osaka.,私は大阪出身です。
757,ＢＳ,１年,113-115,pick up ～,,～を拾う,[ピック・アップ ～],Please pick up the trash.,ゴミを拾ってください。
758,ＢＳ,１年,113-115,make sense,,意味が通じる、納得できる,[メイク・センス],That doesn't make sense.,それは意味が通じません。
759,ＢＳ,１年,113-115,sing along,,合わせて歌う,[シング・アロング],Let's sing along to the music.,音楽に合わせて一緒に歌いましょう。
760,ＢＳ,１年,116-117,article,名詞,記事,[アーティクル],I read an interesting article.,興味深い記事を読みました。
761,ＢＳ,１年,116-117,percent,名詞,パーセント[記号％],[パーセント],Eighty percent of students passed.,80％の生徒が合格しました。
762,ＢＳ,１年,116-117,voice,名詞,声,[ヴォイス],Her voice is beautiful.,彼女の声は美しいです。
763,ＢＳ,１年,116-117,noon,名詞,正午、真昼,[ヌーン],We'll meet again at noon.,また正午に会いましょう。
764,ＢＳ,１年,116-117,die,動詞,死ぬ,[ダイ],Flowers die without water.,水がないと花は枯れます。
765,ＢＳ,１年,116-117,hear,動詞,～が聞こえる、～を聞く,[ヒア],Did you hear that sound?,その音を聞きましたか？
766,ＢＳ,１年,116-117,serious,形容詞,深刻な、ひどい,[シリアス],This is a serious matter.,これは深刻な問題です。
767,ＢＳ,１年,116-117,such,副詞,そのような,[サッチ],I've never seen such a thing.,そんなこと見たことありません。
768,ＢＳ,１年,116-117,sick,形容詞,病気の,[シック],He looks sick today.,彼は今日具合が悪そうです。
769,ＢＳ,１年,116-117,even,副詞,～さえ、～すら,[イーブン],Even she was surprised.,彼女でさえ驚いていました。
770,ＢＳ,１年,116-117,as,前置詞,[例・目的ほかを示す]のような～,[アズ],He works as a teacher.,彼は先生として働いています。
771,ＢＳ,１年,116-117,over,形容詞,[位置・超過・期間などを示す]～を超えて,[オーバー],He jumped over the fence.,彼はフェンスを飛び越えました。
772,ＢＳ,１年,116-117,found,動詞,find の過去形,[ファウンド],I found my lost key.,なくした鍵を見つけました。
773,ＢＳ,１年,116-117,heard,動詞,hear の過去形,[ハード],I heard your story.,あなたの話を聞きました。
774,ＢＳ,１年,116-117,get home,,帰宅する,[ゲット・ホーム],I'll call you when I get home.,家に着いたら電話します。
775,ＢＳ,１年,116-117,get sick,,病気になる,[ゲット・シック],I get sick in cars.,車に酔いやすいです。
776,ＢＳ,１年,116-117,～ such as …,,…のような～,[～サッチ・アズ …],I like fruits such as apples and bananas.,リンゴやバナナのような果物が好きです。
777,ＢＳ,１年,118-120,idea,名詞,考え、アイデア,[アイデア],That's a great idea.,それは素晴らしいアイデアです。
778,ＢＳ,１年,118-120,match,名詞,試合,[マッチ],Their shirts match.,彼らのシャツはおそろいです。
779,ＢＳ,１年,118-120,story,名詞,話、ストーリー,[ストーリー],I liked the story.,その話が好きでした。
780,ＢＳ,１年,118-120,diary,名詞,日記,[ダイアリー],I write in my diary every night.,毎晩日記を書きます。
781,ＢＳ,１年,118-120,design,名詞,デザイン,[デザイン],He likes web design.,彼はウェブデザインが好きです。
782,ＢＳ,１年,118-120,its,代名詞,それの,[イッツ],The cat moved its tail.,猫がしっぽを動かしました。
783,ＢＳ,１年,118-120,cheer,動詞,～を元気付ける、[チームなど]を応援する,[チア],Let's cheer for our team.,チームを応援しよう！
784,ＢＳ,１年,118-120,choose,動詞,～を選ぶ,[チューズ],Choose your favorite color.,好きな色を選んでください。
785,ＢＳ,１年,118-120,send,動詞,～を送る,[センド],I will send a letter.,手紙を送ります。
786,ＢＳ,１年,118-120,useful,形容詞,役に立つ、有用な,[ユースフル],That app is useful.,そのアプリは役に立ちます。
787,ＢＳ,１年,118-120,gave,動詞,give の過去形,[ゲイブ],She gave me a book.,彼女は私に本をくれました。
788,ＢＳ,１年,118-120,told,動詞,tell の過去形,[トールド],He told me the truth.,彼は私に真実を教えてくれました。
789,ＢＳ,１年,118-120,chose,動詞,choose の過去形,[チョーズ],They chose the red one.,彼らは赤いのを選びました。
790,ＢＳ,１年,118-120,showed,動詞,show の過去形,[ショウド],He showed us his drawing.,彼は私たちに絵を見せてくれました。
791,ＢＳ,１年,118-120,sent,動詞,send の過去形,[セント],She sent me a picture.,彼女は私に写真を送ってくれました。
792,ＢＳ,１年,118-120,buy ～ for …,,…のために～を買う,[バイ ～ フォー …],I'll buy flowers for my mom.,お母さんに花を買います。
793,ＢＳ,１年,118-120,cheer ～ on,,～を応援する,[チア ～ オン],We cheered her on during the game.,私たちは試合中に彼女を応援しました。
794,ＢＳ,１年,118-120,remember,動詞,～を思い出す,[リメンバー],I remember that day well.,その日をよく覚えています。
795,ＢＳ,１年,118-120,pleased,形容詞,喜んだ、うれしそうな,[プリーズド],I'm pleased to meet you.,お会いできてうれしいです。
796,ＢＳ,１年,118-120,came,動詞,come の過去形,[ケイム],He came to our house.,彼は私たちの家に来ました。
797,ＢＳ,１年,121,dictionary,名詞,辞書、辞典,[ディクショナリー],This dictionary is easy to use.,この辞書は使いやすいです。
798,ＢＳ,１年,121,lend,動詞,～を貸す,[レンド],Can you lend me your pen?,ペンを貸してくれますか？
799,ＢＳ,１年,121,borrow,動詞,～を借りる,[ボロウ],I will borrow a book.,本を借ります。
800,ＢＳ,１年,121,soon,副詞,すぐに、じきに,[スーン],We'll go soon.,もうすぐ行きます。
801,ＢＳ,１年,121,sorry,形容詞,すまなく思って、残念に思って,[ソーリー],I'm sorry I'm late.,遅れてごめんなさい。
802,ＢＳ,１年,121,ahead,副詞,～の前方に,[アヘッド],Go ahead and eat.,先にどうぞ。
803,ＢＳ,１年,121,help ～ with …,,～の…を手伝う,[ヘルプ ～ ウィズ …],I helped my dad with dinner.,夕食の手伝いをしました。
804,ＢＳ,１年,121,See you soon.,,後でね。[別れぎわのあいさつ],[シー・ユー・スーン],See you soon.,またすぐ会いましょう。
805,ＢＳ,１年,121,Go ahead.,,[相手に許可を与えたり、物をすすめたりして]どうぞ。,[ゴー・アヘッド],Go ahead and try.,どうぞ、お先に。
806,ＢＳ,１年,122-127,save,動詞,～を救う,[セイヴ],We need to save energy.,エネルギーを節約する必要があります。
807,ＢＳ,１年,122-127,ask,動詞,たずねる、きく,[アスク],I'll ask her tomorrow.,彼女に明日聞いてみます。
808,ＢＳ,１年,122-127,answer,動詞,答える、返事する,[アンサー],Please answer the question.,質問に答えてください。
809,ＢＳ,１年,122-127,believe,動詞,～を信じる,[ビリーブ],I believe in you.,あなたを信じています。
810,ＢＳ,１年,122-127,fall,動詞,倒れる,[フォール],Don't fall on the stairs.,階段で転ばないでください。
811,ＢＳ,１年,122-127,gather,動詞,集まる,[ギャザー],Let's gather in the hall.,ホールに集まりましょう。
812,ＢＳ,１年,122-127,important,形容詞,大切な、重要な,[インポータント],Water is important.,水は大切です。
813,ＢＳ,１年,122-127,necessary,形容詞,必要な、なくてはならない,[ネセサリー],It's necessary to rest.,休むことが必要です。
814,ＢＳ,１年,122-127,suddenly,副詞,突然,[サドンリー],"Suddenly, the lights went out.",突然、電気が消えました。
815,ＢＳ,１年,122-127,became,動詞,become の過去形,[ビケイム],She became a doctor.,彼女は医者になりました。
816,ＢＳ,１年,122-127,fall down,動詞,倒れる、ころぶ,[フォール・ダウン],Be careful not to fall down.,転ばないように気をつけて。
817,ＢＳ,１年,122-127,bring ～ back to …,,～を…に持って戻る,[ブリング ～ バック・トゥ …],Bring the ball back to me.,ボールを私のところに戻してね。
818,ＢＳ,１年,122-127,take ～ to …,,～を…に連れていく,[テイク ～ トゥ …],Take this gift to your mom.,このプレゼントをお母さんに持って行って。
819,ＢＳ,１年,122-127,get well,,よくなる、治る,[ゲット・ウェル],I hope you get well soon.,早くよくなってね。
820,ＢＳ,１年,122-127,Tuesday,名詞,火曜日,[チューズデイ],We have a test on Tuesday.,火曜日にテストがあります。
821,ＢＳ,１年,122-127,us,代名詞,私たちを[に],[アス],She came with us.,彼女は私たちと一緒に来ました。
822,ＢＳ,１年,122-127,did,,do の過去形,[ディッド],We did our homework.,私たちは宿題をしました。
823,ＢＳ,１年,122-127,could,,can の過去形,[クッド],He could swim well.,彼は上手に泳げました。
824,ＢＳ,１年,122-127,"Best regards,",,[敬具]手紙やメールの結びに使う,[ベスト・リガーズ],"Best regards, Tom",敬具、トム
825,ＢＳ,１年,122-127,"Best wishes,",,ご多幸を祈って,[ベスト・ウィッシュズ],Best wishes on your trip!,よい旅を！
826,ＢＳ,１年,128-131,lucky,形容詞,幸運な、運がいい,[ラッキー],You are very lucky.,あなたはとても運がいいです。
827,ＢＳ,１年,128-131,broken,形容詞,壊れた、壊れている,[ブロークン],This chair is broken.,この椅子は壊れています。
828,ＢＳ,１年,128-131,glad,形容詞,うれしい,[グラッド],I'm glad to see you.,あなたに会えてうれしいです。
829,ＢＳ,１年,128-131,said,動詞,say の過去形,[セッド],She said hello to me.,彼女は私にこんにちはと言いました。
830,ＢＳ,１年,128-131,left,動詞,leave の過去形,[レフト],He left early.,彼は早く出発しました。
831,ＢＳ,１年,128-131,thought,動詞,think の過去形,[ソート],I thought it was funny.,それはおもしろいと思いました。
832,ＢＳ,１年,128-131,"～ not …, either",,～も…しない,"[～ ノット …, イーザー]","I don't like it, and he doesn't, either.",私もそれは好きじゃないし、彼もそうじゃない。
833,ＢＳ,１年,128-131,come home,,家に帰る、自宅にやってくる,[カム・ホーム],He will come home at five.,彼は5時に帰ってきます。
834,ＢＳ,１年,128-131,go into ～,,～に入っていく,[ゴー・イントゥ ～],Let's go into the building.,その建物に入りましょう。
835,ＢＳ,１年,128-131,go home,,家に帰る、自宅に向かう,[ゴー・ホーム],We will go home after dinner.,夕食の後に帰ります。
836,ＢＳ,１年,128-131,leave for ～,,～に向かって出発する,[リーブ・フォー ～],They will leave for Kyoto tomorrow.,彼らは明日京都に出発します。
837,ＢＳ,１年,128-131,on one's way,,途中で、道中で,[オン・ワンズ・ウェイ],I met him on my way to school.,学校へ行く途中で彼に会いました。
838,ＢＳ,１年,128-131,eat up ～,,～を食べつくす,[イート・アップ ～],Eat up your vegetables.,食べ物を食べてしまいなさい。
839,ＢＳ,１年,128-131,put ～ in …,,～を…に入れる,[プット ～ イン …],Put the book in your bag.,カバンに本を入れてください。
840,ＢＳ,１年,128-131,take ～ out,,～を取り出す,[テイク ～ アウト],Take your phone out of your pocket.,ポケットから携帯電話を取り出してください。
1,ＢＳ,２年,5-7,step,名詞,ステップ、段階,[ステップ],Be careful not to step on the flowers.,花を踏まないように気をつけて。
2,ＢＳ,２年,5-7,information,名詞,情報,[インフォメーション],I need more information.,もっと情報が必要です。
3,ＢＳ,２年,5-7,website,名詞,ウェブサイト,[ウェブサイト],Visit our website for details.,詳細は私たちのウェブサイトをご覧ください。
4,ＢＳ,２年,5-7,sign,動詞,署名する,[サイン],I saw a stop sign.,止まれの標識を見ました。
5,ＢＳ,２年,5-7,sign up,,申し込む,[サイン・アップ],You can sign up here.,ここで登録できます。
6,ＢＳ,２年,5-7,give it a try,,やってみる,[ギヴ・イット・ア・トライ],I'll give it a try.,やってみます。
7,ＢＳ,２年,5-7,low,形容詞,最低値,[ロウ],The table is low.,テーブルが低いです。
8,ＢＳ,２年,5-7,invite,動詞,～を招待する,[インヴァイト],I will invite her to the party.,彼女をパーティーに招待します。
9,ＢＳ,２年,5-7,move,動詞,～を移動する,[ムーヴ],Let's move to another seat.,別の席に移動しましょう。
10,ＢＳ,２年,5-7,carry,動詞,～を運ぶ,[キャリー],Can you carry this bag?,このカバンを運んでくれる？
11,ＢＳ,２年,5-7,forget,動詞,～を忘れる,[フォゲット],Don't forget your umbrella.,傘を忘れないで。
12,ＢＳ,２年,5-7,reach,動詞,（目標に）手が届く,[リーチ],I can't reach the top shelf.,棚の上に手が届きません。
13,ＢＳ,２年,5-7,heavy,形容詞,重い,[ヘヴィ],This box is very heavy.,この箱はとても重いです。
14,ＢＳ,２年,5-7,absent,形容詞,欠席の、不在の,[アブセント],He is absent today.,彼は今日は欠席です。
15,ＢＳ,２年,5-7,crowded,形容詞,混雑している,[クラウデッド],The train was crowded.,電車は混んでいました。
16,ＢＳ,２年,5-7,weather,名詞,天気,[ウェザー],The weather is nice today.,今日は天気がいいです。
17,ＢＳ,２年,5-7,sunny,形容詞,晴れた,[サニー],It's sunny outside.,外は晴れています。
18,ＢＳ,２年,5-7,cloudy,形容詞,曇りの,[クラウディ],The sky is cloudy.,空は曇っています。
19,ＢＳ,２年,5-7,"…, don't you?",,…ですよね？,[ドンチュウー],"You like music, don't you?",あなたは音楽が好きですよね？
20,ＢＳ,２年,8-9,skill,名詞,スキル、腕前,[スキル],I want to improve my skill.,スキルを上達させたいです。
21,ＢＳ,２年,8-9,end,名詞,終わり,[エンド],The movie had a happy end.,映画はハッピーエンドでした。
22,ＢＳ,２年,8-9,partner,名詞,パートナー、相棒,[パートナー],She is my dance partner.,彼女は私のダンスパートナーです。
23,ＢＳ,２年,8-9,duet,名詞,デュエット,[デュエット],Let's sing a duet.,デュエットを歌いましょう。
24,ＢＳ,２年,8-9,deadline,名詞,締め切り,[デッドライン],The deadline is tomorrow.,締め切りは明日です。
25,ＢＳ,２年,8-9,haircut,名詞,散髪,[ヘアカット],I got a haircut yesterday.,昨日髪を切りました。
26,ＢＳ,２年,8-9,gaming,形容詞,ゲームの,[ゲーミング],He enjoys gaming.,彼はゲームを楽しんでいます。
27,ＢＳ,２年,8-9,until,前置詞,～まで（ずっと）,[アンティル],Wait until I finish.,終わるまで待ってください。
28,ＢＳ,２年,8-9,hand,名詞,～を手渡す,[ハンド],Please raise your hand.,手を挙げてください。
29,ＢＳ,２年,8-9,commentary,名詞,実況解説,[コメンタリー],I watched the sports commentary.,スポーツ解説を見ました。
30,ＢＳ,２年,8-9,take part in ～,,～に参加する,[テイク・パート・イン ～],I want to take part in the contest.,コンテストに参加したいです。
31,ＢＳ,２年,8-9,get a haircut,,髪を切る,[ゲット・ア・ヘアカット],I will get a haircut later.,後で髪を切りに行きます。
32,ＢＳ,２年,8-9,hand in ～,,～を提出する,[ハンド・イン ～],Hand in your homework.,宿題を提出してください。
33,ＢＳ,２年,10-11,history,名詞,歴史,[ヒストリー],He is good at history.,彼は歴史が得意です。
34,ＢＳ,２年,10-11,health,名詞,健康,[ヘルス],Health is important.,健康は大切です。
35,ＢＳ,２年,10-11,recipe,名詞,レシピ、調理法,[レシピ],This is my favorite recipe.,これは私の好きなレシピです。
36,ＢＳ,２年,10-11,introduce,動詞,～を紹介する,[イントロデュース],Let me introduce my friend.,友達を紹介させてください。
37,ＢＳ,２年,12-14,president,名詞,（クラスなどの）総代,[プレジデント],He became the president.,彼は大統領になりました。
38,ＢＳ,２年,12-14,thousand,数詞,千（の）,[サウザンド],There were a thousand people.,千人の人がいました。
39,ＢＳ,２年,12-14,meeting,名詞,ミーティング、会議,[ミーティング],We had a meeting at 3 p.m.,私たちは3時に会議をしました。
40,ＢＳ,２年,12-14,interview,名詞,インタビュー,[インタビュー],The interview was hard.,面接は難しかったです。
41,ＢＳ,２年,12-14,stage,名詞,舞台、ステージ,[ステージ],They are on the stage.,彼らはステージの上にいます。
42,ＢＳ,２年,12-14,success,名詞,成功,[サクセス],Her speech was a success.,彼女のスピーチは成功しました。
43,ＢＳ,２年,12-14,total,名詞,総計、総数,[トータル],The total is 100 points.,合計で100点です。
44,ＢＳ,２年,12-14,plan,動詞,～を計画する,[プラン],Let's make a plan.,計画を立てましょう。
45,ＢＳ,２年,12-14,perform,動詞,演ずる、披露する,[パフォーム],We will perform a play.,劇を演じましょう。
46,ＢＳ,２年,12-14,each,代名詞,それぞれの,[イーチ],Each student has a notebook.,それぞれの生徒がノートを持っています。
47,ＢＳ,２年,12-14,ready,形容詞,準備ができた,[レディ],I'm ready to go.,出発の準備ができています。
48,ＢＳ,２年,12-14,end with ～,,～とともに終わる,[エンド・ウィズ ～],The movie will end with a song.,映画は歌で終わります。
49,ＢＳ,２年,12-14,in total,,総計で,[イン・トータル],We got 80 points in total.,合計で80点取りました。
50,ＢＳ,２年,12-14,each other,,おたがい,[イーチ・アザー],They help each other.,彼らはお互いに助け合います。
51,ＢＳ,２年,12-14,be able to ～,,～できる,[ビー・エイブル・トゥ ～],I want to be able to swim.,泳げるようになりたいです。
52,ＢＳ,２年,12-14,be ready to ～,,～する準備が整う,[ビー・レディ・トゥ ～],I am ready to start.,始める準備ができています。
53,ＢＳ,２年,12-14,look forward to ～,,～を楽しみにする,[ルック・フォワード・トゥ ～],I look forward to the trip.,旅行が楽しみです。
54,ＢＳ,２年,12-14,resident,名詞,住人、住民,[レジデント],He is a local resident.,彼は地元の住人です。
55,ＢＳ,２年,12-14,decide,動詞,～しようと決める,[ディサイド],I decided to join.,参加することに決めました。
56,ＢＳ,２年,12-14,suggest,動詞,～を提案する,[サジェスト],I suggest this dish.,この料理をおすすめします。
57,ＢＳ,２年,15-16,plan,名詞,計画、プラン,[プラン],We made a new plan.,新しい計画を立てました。
58,ＢＳ,２年,15-16,invitation,名詞,招待,[インビテーション],I got an invitation.,招待状をもらいました。
59,ＢＳ,２年,15-16,snack,名詞,おやつ、軽食,[スナック],Let's eat a snack.,おやつを食べましょう。
60,ＢＳ,２年,15-16,report,名詞,レポート、報告,[リポート],I wrote a report.,レポートを書きました。
61,ＢＳ,２年,15-16,sky,名詞,空,[スカイ],The sky is blue.,空は青いです。
62,ＢＳ,２年,15-16,break,名詞,休憩,[ブレイク],Let's take a break.,休憩しましょう。
63,ＢＳ,２年,15-16,follow,動詞,続く、次に来る,[フォロー],Follow me.,ついてきてください。
64,ＢＳ,２年,15-16,warm,形容詞,暖かい、温かい,[ウォーム],The soup is warm.,スープが温かいです。
65,ＢＳ,２年,15-16,full,形容詞,いっぱいの、満腹で,[フル],I'm full now.,今お腹いっぱいです。
66,ＢＳ,２年,15-16,early,副詞,早い、早めの,[アーリー],I got up early.,早起きしました。
67,ＢＳ,２年,15-16,perfect,形容詞,完全な、申し分のない,[パーフェクト],It's a perfect day.,今日は完璧な日です。
68,ＢＳ,２年,15-16,tonight,副詞,今夜（は）,[トゥナイト],Let's go out tonight.,今夜出かけましょう。
69,ＢＳ,２年,15-16,moon,名詞,月,[ムーン],The moon is bright.,月が明るいです。
70,ＢＳ,２年,15-16,cold,形容詞,寒い、冷たい,[コールド],It's cold today.,今日は寒いです。
71,ＢＳ,２年,15-16,short,形容詞,短い,[ショート],The story is short.,話は短かったです。
72,ＢＳ,２年,15-16,go out,,外出する,[ゴー・アウト],Let's go out for dinner.,夕食に出かけましょう。
73,ＢＳ,２年,15-16,go on,,続く,[ゴー・オン],The show will go on.,ショーは続きます。
74,ＢＳ,２年,15-16,That's all.,,これで終わりです。,[ザッツ・オール],That's all for today.,今日はこれで終わりです。
75,ＢＳ,２年,15-16,What's ～ like?,,～はどんなですか。,[ワッツ ～ ライク？],What's your school like?,あなたの学校はどんな感じ？
76,ＢＳ,２年,15-16,How long ～?,,どのくらいの間～ですか。,[ハウ・ロング ～？],How long is the movie?,映画はどのくらいの長さ？
77,ＢＳ,２年,19-21,lantern,名詞,ランタン、灯籠,[ランタン],I saw a lantern.,提灯を見ました。
78,ＢＳ,２年,19-21,so,接続詞,そのように,[ソー],"I was tired, so I rested.",疲れたので休みました。
79,ＢＳ,２年,19-21,town,名詞,町,[タウン],The town is small.,町は小さいです。
80,ＢＳ,２年,19-21,firework,名詞,花火,[ファイアワーク],I saw a firework.,花火を見ました。
81,ＢＳ,２年,19-21,～ and so on,,～など,[～ アンド・ソー・オン],I like sports and so on.,スポーツなどが好きです。
82,ＢＳ,２年,19-21,human,名詞,人間、人,[ヒューマン],We are all human.,私たちは皆人間です。
83,ＢＳ,２年,19-21,point,名詞,点、小数点,[ポイント],That is a good point.,それは良いポイントです。
84,ＢＳ,２年,19-21,million,名詞,100万（の）,[ミリオン],A million people watched.,100万人が見ました。
85,ＢＳ,２年,19-21,presentation,名詞,（口頭）発表,[プレゼンテーション],I gave a presentation.,プレゼンをしました。
86,ＢＳ,２年,19-21,climax,名詞,クライマックス,[クライマックス],The concert had a great climax.,コンサートは盛り上がりました。
87,ＢＳ,２年,19-21,detail,名詞,詳細、詳しい内容,[ディテール],Tell me in detail.,詳しく教えてください。
88,ＢＳ,２年,19-21,convenience,名詞,便利（なもの）,[コンビニエンス],I stopped at the convenience store.,コンビニに寄りました。
89,ＢＳ,２年,19-21,parade,動詞,行進する,[パレード],We watched a parade.,パレードを見ました。
90,ＢＳ,２年,19-21,win,動詞,（試合など）に勝つ,[ウィン],I want to win.,勝ちたいです。
91,ＢＳ,２年,19-21,hope,動詞,～だとよいと思う,[ホープ],I hope you enjoy it.,楽しんでくれるといいな。
92,ＢＳ,２年,19-21,lighted,形容詞,明かりの灯った,[ライトッド],The room was lighted.,部屋が明るく照らされていました。
93,ＢＳ,２年,19-21,shaped,形容詞,～の形をした,[シェイプド],I bought a heart-shaped box.,ハート形の箱を買いました。
94,ＢＳ,２年,19-21,remarkable,形容詞,すばらしい,[リマーカブル],It was a remarkable moment.,それは素晴らしい瞬間でした。
95,ＢＳ,２年,19-21,street,名詞,通り,[ストリート],The street was quiet.,通りは静かでした。
96,ＢＳ,２年,19-21,station,名詞,駅,[ステーション],The station is big.,駅は大きいです。
97,ＢＳ,２年,22-23,forest,名詞,森,[フォレスト],I walked in the forest.,森の中を歩きました。
98,ＢＳ,２年,22-23,area,名詞,地区、地域,[エリア],This area is beautiful.,この地域は美しいです。
99,ＢＳ,２年,22-23,picnic,名詞,ピクニック,[ピクニック],We had a picnic.,ピクニックをしました。
100,ＢＳ,２年,22-23,happiness,名詞,幸福,[ハピネス],Happiness is important.,幸せは大切です。
101,ＢＳ,２年,22-23,prayer,名詞,祈り,[プレイヤー],Let's say a prayer.,祈りをささげましょう。
102,ＢＳ,２年,22-23,path,名詞,小道、細道,[パス],I found a path.,小道を見つけました。
103,ＢＳ,２年,22-23,cafe,名詞,カフェ,[カフェ],Let's meet at the cafe.,カフェで会いましょう。
104,ＢＳ,２年,22-23,sunset,名詞,日没（時間）,[サンセット],The sunset is beautiful.,夕日がきれいです。
105,ＢＳ,２年,22-23,pray,名詞,祈る,[プレイ],We pray for peace.,平和を祈ります。
106,ＢＳ,２年,22-23,relax,動詞,リラックスする,[リラックス],I relax on weekends.,週末はリラックスします。
107,ＢＳ,２年,22-23,serve,動詞,（食事など）を出す,[サーブ],They serve lunch at noon.,彼らは昼食を出します。
108,ＢＳ,２年,22-23,glow,動詞,光り輝く、光を発する,[グロー],The fireflies glow at night.,ホタルが夜に光ります。
109,ＢＳ,２年,22-23,release,動詞,～を放つ,[リリース],They will release a movie.,映画を公開します。
110,ＢＳ,２年,22-23,western,形容詞,西方の,[ウェスタン],He likes western movies.,彼は西洋映画が好きです。
111,ＢＳ,２年,22-23,magnificent,形容詞,壮大な、堂々とした,[マグニフィセント],The view was magnificent.,景色が壮大でした。
112,ＢＳ,２年,22-23,absolutely,副詞,完全に、全くその通り,[アブソルートリー],I absolutely love it.,絶対に気に入りました。
113,ＢＳ,２年,22-23,river,名詞,川,[リバー],The river is long.,川は長いです。
114,ＢＳ,２年,22-23,wrote,動詞,write の過去形,[ロート],I wrote a poem.,詩を書きました。
115,ＢＳ,２年,24-25,meaning,名詞,意味,[ミーニング],What's the meaning?,意味は何ですか？
116,ＢＳ,２年,24-25,culture,名詞,文化,[カルチャー],I love Japanese culture.,日本の文化が好きです。
117,ＢＳ,２年,24-25,band,名詞,バンド,[バンド],The band is popular.,バンドは人気です。
118,ＢＳ,２年,24-25,rule,名詞,ルール、規則,[ルール],That is the rule.,それがルールです。
119,ＢＳ,２年,24-25,level,名詞,高さ、高度,[レベル],This is a high level.,これは高レベルです。
